"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"21.08.2018 02:00:00 PM - 03:00:00 PM","43333.8333333333","213,976,375 KByte","219111808134.7807","486,960 kbit/s","60869970.8959","186,527,586 KByte","191004247830.4096","424,493 kbit/s","53061599.4884","27,448,789 KByte","28107560304.3710","62,467 kbit/s","7808371.4075","0 %","0.0000","100 %","0000009999"
"21.08.2018 03:00:00 PM - 04:00:00 PM","43333.8750000000","208,088,074 KByte","213082187400.8220","473,561 kbit/s","59195087.1473","185,275,985 KByte","189722609090.0715","421,646 kbit/s","52705702.5080","22,812,088 KByte","23359578310.7505","51,915 kbit/s","6489384.6393","0 %","0.0000","100 %","0000009999"
"21.08.2018 04:00:00 PM - 05:00:00 PM","43333.9166666667","201,258,029 KByte","206088221596.5604","458,013 kbit/s","57251658.2252","173,541,410 KByte","177706403635.3222","394,937 kbit/s","49367140.9581","27,716,619 KByte","28381817961.2382","63,076 kbit/s","7884517.2671","0 %","0.0000","100 %","0000009999"
"21.08.2018 05:00:00 PM - 06:00:00 PM","43333.9583333333","204,989,670 KByte","209909421840.2619","466,503 kbit/s","58312870.1591","172,282,996 KByte","176417787588.8246","392,071 kbit/s","49008888.9352","32,706,674 KByte","33491634251.4372","74,432 kbit/s","9303981.2239","0 %","0.0000","100 %","0000009999"
"21.08.2018 06:00:00 PM - 07:00:00 PM","43334.0000000000","204,478,384 KByte","209385865610.9144","465,341 kbit/s","58167587.7465","181,297,615 KByte","185648757335.6561","412,587 kbit/s","51573397.0430","23,180,770 KByte","23737108275.2582","52,754 kbit/s","6594190.7035","0 %","0.0000","100 %","0000009999"
"21.08.2018 07:00:00 PM - 08:00:00 PM","43334.0416666667","209,181,810 KByte","214202173899.9428","476,048 kbit/s","59506058.5831","186,429,540 KByte","190903848495.2155","424,270 kbit/s","53033708.2275","22,752,271 KByte","23298325404.7273","51,779 kbit/s","6472350.3557","0 %","0.0000","100 %","0000009999"
"21.08.2018 08:00:00 PM - 09:00:00 PM","43334.0833333333","142,577,422 KByte","145999279717.0208","324,471 kbit/s","40558848.0444","122,446,231 KByte","125384940762.1102","278,657 kbit/s","34832149.6468","20,131,190 KByte","20614338954.9107","45,814 kbit/s","5726698.3976","0 %","0.0000","100 %","0000009999"
"21.08.2018 09:00:00 PM - 10:00:00 PM","43334.1250000000","94,539,276 KByte","96808218438.1855","215,149 kbit/s","26893637.0384","83,629,893 KByte","85637010510.3241","190,322 kbit/s","23790239.2470","10,909,383 KByte","11171207927.8615","24,827 kbit/s","3103397.7914","0 %","0.0000","100 %","0000009999"
"21.08.2018 10:00:00 PM - 11:00:00 PM","43334.1666666667","7,140,808 KByte","7312187750.8266","16,251 kbit/s","2031338.1849","5,157,124 KByte","5280894471.2785","11,736 kbit/s","1467041.4595","1,983,685 KByte","2031293279.5481","4,514 kbit/s","564296.7254","0 %","0.0000","100 %","0000009999"
"21.08.2018 11:00:00 PM - 12:00:00 AM","43334.2083333333","2,298,896 KByte","2354069898.1474","5,232 kbit/s","653962.8019","1,392,661 KByte","1426084496.3661","3,169 kbit/s","396167.5963","906,236 KByte","927985401.7812","2,062 kbit/s","257795.2057","0 %","0.0000","100 %","0000009999"
"22.08.2018 12:00:00 AM - 01:00:00 AM","43334.2500000000","4,775,714 KByte","4890330733.1425","10,868 kbit/s","1358561.0598","2,783,105 KByte","2849899340.5769","6,334 kbit/s","791717.8775","1,992,609 KByte","2040431392.5656","4,535 kbit/s","566843.1823","0 %","0.0000","100 %","0000009999"
